Transposition	1	2	3	4	Slope
T1 + 1	0.08695652173913043	0.06666666666666667	0.0	NaN	-0.04347826086956525
T2 - 1	0.06349206349206349	0.07692307692307693	0.0	NaN	-0.03174603174603178
T2 + 1	0.11764705882352941	0.16666666666666666	0.10526315789473684	0.2	0.018565531475748197
T3 - 1	0.14285714285714285	0.125	0.14285714285714285	0.2857142857142857	0.04464285714285715
T3 + 1	0.07575757575757576	0.045454545454545456	0.0	NaN	-0.03787878787878791
T4 - 1	0.0975609756097561	0.1111111111111111	0.1	0.0	-0.03037940379403796
T4 + 1	0.07317073170731707	0.2222222222222222	0.1	0.0	-0.034173441734417345
T5 - 1	0.10465116279069768	0.041666666666666664	0.0	NaN	-0.05232558139534885
T5 + 1	0.15384615384615385	0.16	0.17647058823529413	0.0	-0.04450678733031673
T6 - 1	0.12643678160919541	0.16216216216216217	0.13333333333333333	0.0	-0.04081391736564152
T6 + 1	0.16161616161616163	0.2	0.3333333333333333	0.2	0.02484848484848485
T7 - 1	0.18292682926829268	0.16666666666666666	0.2222222222222222	0.2222222222222222	0.017344173441734424
T7 + 1	0.21359223300970873	0.1111111111111111	0.045454545454545456	0.25	0.004356673531430795
T8 - 1	0.2222222222222222	0.1643835616438356	0.19230769230769232	0.42857142857142855	0.06469717497114756
T8 + 1	0.17142857142857143	0.2857142857142857	0.15789473684210525	0.125	-0.02671052631578946
T9 - 1	0.16091954022988506	0.2857142857142857	0.21739130434782608	0.16666666666666666	-0.0051081602056115005
